
S0066,3PARA RAT,,3PARA RAT is a remote access tool (RAT) programmed in C++ that has been used by Putter Panda.
S0065,4H RAT,,4H RAT is malware that has been used by Putter Panda since at least 2007.
S0677,AADInternals,,"AADInternals is a PowerShell-based framework for administering, enumerating, and exploiting Azure Active Directory. The tool is publicly available on GitHub."
S0469,ABK,,ABK is a downloader that has been used by BRONZE BUTLER since at least 2019.
S1061,AbstractEmu,,"AbstractEmu is mobile malware that was first seen in Google Play and other third-party stores in October 2021. It was discovered in 19 Android applications, of which at least 7 abused known Android exploits for obtaining root permissions. AbstractEmu was observed primarily impacting users in the United States, however victims are believed to be across a total of 17 countries."
S1000,ACAD/Medre.A,,ACAD/Medre.A is a worm that steals operational information. The worm collects AutoCAD files with drawings. ACAD/Medre.A has the capability to be used for industrial espionage.
S1028,Action RAT,,Action RAT is a  remote access tool written in Delphi that has been used by SideCopy since at least December 2021 against Indian and Afghani government personnel.
S0202,adbupd,,adbupd is a backdoor used by PLATINUM that is similar to Dipsind.
S0552,AdFind,,AdFind is a free command-line query tool that can be used for gathering information from Active Directory.
S0309,Adups,,"Adups is software that was pre-installed onto Android devices, including those made by BLU Products. The software was reportedly designed to help a Chinese phone manufacturer monitor user behavior, transferring sensitive data to a Chinese server."
S0045,ADVSTORESHELL,"AZZY, EVILTOSS, NETUI, Sedreco",ADVSTORESHELL is a spying backdoor that has been used by APT28 from at least 2012 to 2016. It is generally used for long-term espionage and is deployed on targets deemed interesting after a reconnaissance phase.
S0440,Agent Smith,,"Agent Smith is mobile malware that generates financial gain by replacing legitimate applications on devices with malicious versions that include fraudulent ads. As of July 2019 Agent Smith had infected around 25 million devices, primarily targeting India though effects had been observed in other Asian countries as well as Saudi Arabia, the United Kingdom, and the United States."
S0331,Agent Tesla,,Agent Tesla is a spyware Trojan written for the .NET framework that has been observed since at least 2014.
S0092,Agent.btz,,Agent.btz is a worm that primarily spreads itself via removable devices such as USB drives. It reportedly infected U.S. military networks in 2008.
S0319,Allwinner,,Allwinner is a company that supplies processors used in Android tablets and other devices. A Linux kernel distributed by Allwinner for use on these devices reportedly contained a backdoor.
S1025,Amadey,,Amadey is a Trojan bot that has been used since at least October 2018.
S0504,Anchor,Anchor_DNS,Anchor is one of a family of backdoor malware that has been used in conjunction with TrickBot on selected high profile targets since at least 2018.
S0525,Android/AdDisplay.Ashas,,Android/AdDisplay.Ashas is a variant of adware that has been distributed through multiple apps in the Google Play Store.
S0304,Android/Chuli.A,,Android/Chuli.A is Android malware that was delivered to activist groups via a spearphishing email with an attachment.
S0524,AndroidOS/MalLocker.B,,AndroidOS/MalLocker.B is a variant of a ransomware family targeting Android devices. It prevents the user from interacting with the UI by displaying a screen containing a ransom note over all other windows.
S0310,ANDROIDOS_ANSERVER.A,,ANDROIDOS_ANSERVER.A is Android malware that is unique because it uses encrypted content within a blog site for command and control.
S0292,AndroRAT,,AndroRAT is malware that allows a third party to control the device and collect information.
S0422,Anubis,,"Anubis is Android malware that was originally used for cyber espionage, and has been retooled as a banking trojan."
S0584,AppleJeus,,"AppleJeus is a family of downloaders initially discovered in 2018 embedded within trojanized cryptocurrency applications. AppleJeus has been used by Lazarus Group, targeting companies in the energy, finance, government, industry, technology, and telecommunications sectors, and several countries including the United States, United Kingdom, South Korea, Australia, Brazil, New Zealand, and Russia. AppleJeus has been used to distribute the FALLCHILL RAT."
S0622,AppleSeed,,"AppleSeed is a backdoor that has been used by Kimsuky to target South Korean government, academic, and commercial  targets since at least 2021."
S0456,Aria-body,,Aria-body is a custom backdoor that has been used by Naikon since approximately 2017.
