id,text_to_embed
dtmi:digitaltwins:ngsi_ld:cim:energy:EquipmentContainer;1," has the following children:DCEquipmentContainer(A modelling construct to provide a root class for containment of DC as well as AC equipment. The class differ from the EquipmentContaner for AC in that it may also contain DCNode-s. Hence it can contain both AC and DC equipment.), Line(Contains equipment beyond a substation belonging to a power transmission line. ), Bay(A collection of power system resources (within a given substation) including conducting equipment, protection relays, measurements, and telemetry.  A bay typically represents a physical grouping related to modularization of equipment.), is connected to:relatedEquipment(connection to an equipment.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:ConnectivityNodeContainer;1,"ConnectivityNodeContainer(A base class for all objects that may contain connectivity nodes or topological nodes.), is connected to:ConnectivityNodes(Connectivity nodes which belong to this connectivity node container.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:Equipment;1,"relatedEquipment(connection to an equipment.) has the following children:PowerElectronicsUnit(A generating unit or battery or aggregation that connects to the AC network using power electronics rather than rotating machines.), GeneratingUnit(A single or set of synchronous machines for converting mechanical power into alternating-current power. For example, individual machines within a set may be defined for scheduling purposes while a single control signal is derived for the set. In this case there would be a GeneratingUnit for each member of the set and an additional GeneratingUnit corresponding to the set.), HydroPumps(The hydro pump may be a member of a pumped storage plant or a pump for distributing water.), DCConductingEquipment(The parts of the DC power system that are designed to carry current or that are conductively connected through DC terminals.), ConductingEquipment(The parts of the AC power system that are designed to carry current or that are conductively connected through terminals.), is connected to:OperationalLimitSet(The operational limit sets associated with this equipment.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:BaseVoltage;1,BaseVoltage(Base voltage of the transformer end.  This is essential for PU calculation.)
dtmi:digitaltwins:ngsi_ld:cim:energy:IdentifiedObject;1,"IdentifiedObject(This is a root class to provide common identification for all classes needing identification and naming attributes.) has the following children:FossilFuel(The fossil fuel consumed by the non-nuclear thermal generating unit.   For example, coal, oil, gas, etc.   These are the specific fuels that the generating unit can consume.), MeterReading(Set of values obtained from the meter.), PhaseTapChangerTable(The phase tap changer table for this phase tap changer.), TransformerEnd(A conducting connection point of a power transformer. It corresponds to a physical transformer winding terminal.  In earlier CIM versions, the TransformerWinding class served a similar purpose, but this class is more flexible because it associates to terminal but is not a specialization of ConductingEquipment.), RatioTapChangerTable(The tap ratio table for this ratio  tap changer.), EnergySchedulingType(Energy Scheduling Type of an Energy Source.), PowerSystemResource(A power system resource (PSR) can be an item of equipment such as a switch, an equipment container containing many individual items of equipment such as a substation, or an organisational entity such as sub-control area. Power system resources can have measurements associated.), ConnectivityNodes(Connectivity nodes which belong to this connectivity node container.), ReportingGroup(A reporting group is used for various ad-hoc groupings used for reporting.), Region(The SubGeographicalRegion containing the DC line.), ACDCTerminal(An electrical connection point (AC or DC) to a piece of conducting equipment. Terminals are connected at physical connection points called connectivity nodes.), Curve(The curve of  this curve data point.), Region(The geographical region which this sub-geographical region is within.), BaseVoltage(Base voltage of the transformer end.  This is essential for PU calculation.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:GeographicalRegion;1,Region(The geographical region which this sub-geographical region is within.)
dtmi:digitaltwins:ngsi_ld:cim:energy:Location;1,"Location(Location is used to deifne the absolute position of an assets) has the following children:Region(The SubGeographicalRegion containing the DC line.), Region(The geographical region which this sub-geographical region is within.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:BasicIntervalSchedule;1,BasicIntervalSchedule(Schedule of values at points in time.) has the following children:RegularIntervalSchedule(The schedule has time points where the time between them is constant.)
dtmi:digitaltwins:ngsi_ld:cim:energy:Curve;1,"Curve(The curve of  this curve data point.) has the following children:GrossToNetActivePowerCurves(A generating unit may have a gross active power to net active power curve, describing the losses and auxiliary power requirements of the unit.), InitialReactiveCapabilityCurve(The default reactive capability curve for use by a synchronous machine.), is connected to:y2Unit(The Y2-axis units of measure.), CurveStyle(Style or shape of curve.), CurveData(Multi-purpose data points for defining a curve.  The use of this generic class is discouraged if a more specific class can be used to specify the X and Y axis values along with their specific data types.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:CurveData;1,"CurveData(Multi-purpose data points for defining a curve.  The use of this generic class is discouraged if a more specific class can be used to specify the X and Y axis values along with their specific data types.), is connected to:Curve(The curve of  this curve data point.)"
